invoice_id,invoice_text,customer_feedback,sentiment
INV-030,"Invoice No: INV-030 | Date: 2025-09-08 | From: DataServe Technologies | To: Yadav Networking, Lucknow | Items: 1x Firewall Appliance @Rs.45000, 1x Firewall License (1yr) @Rs.12000 | Subtotal: Rs.57000 | GST (18%): Rs.10260 | Total: Rs.67260 | Payment Due: 2025-10-08","Firewall is operational. Setup documentation from DataServe was adequate. Performance monitoring looks normal.",neutral
INV-031,"Invoice No: INV-031 | Date: 2025-11-20 | From: Freshworks Software | To: Kulkarni Enterprises, Pune | Items: 20x Freshsales CRM License (Monthly) @Rs.1500 | Subtotal: Rs.30000 | GST (18%): Rs.5400 | Total: Rs.35400 | Payment Due: 2025-12-20","Freshsales integration with our email was a disaster. Data sync issues everywhere and their tech support took 5 days to respond. Unacceptable for a paid product.",negative
INV-032,"Invoice No: INV-032 | Date: 2025-07-17 | From: CloudMinds India Pvt Ltd | To: Menon Digitals, Kochi | Items: 1x Dedicated Server Setup @Rs.200000 | Subtotal: Rs.200000 | GST (18%): Rs.36000 | Total: Rs.236000 | Payment Due: 2025-08-17","CloudMinds India set up our dedicated server flawlessly. Migration was zero-downtime. Their engineering team is truly skilled.",positive
INV-033,"Invoice No: INV-033 | Date: 2026-03-28 | From: TechNova Solutions Pvt Ltd | To: Jain Computers, Surat | Items: 15x Laptop Charger Universal @Rs.1200 | Subtotal: Rs.18000 | GST (18%): Rs.3240 | Total: Rs.21240 | Payment Due: 2026-04-28","Chargers are compatible with most laptop models as claimed. Packaging was adequate.",neutral
INV-034,"Invoice No: INV-034 | Date: 2025-10-15 | From: Bharat Electronics Ltd | To: Choudhary Hardware, Jodhpur | Items: 6x Walkie Talkie Set @Rs.4500 | Subtotal: Rs.27000 | GST (18%): Rs.4860 | Total: Rs.31860 | Payment Due: 2025-11-15","Walkie talkies have impressive range and clear audio. Battery life lasts the full shift. Our warehouse team loves them.",positive
INV-035,"Invoice No: INV-035 | Date: 2025-08-26 | From: Reliance Digital Wholesale | To: Dubey Electronics, Allahabad | Items: 5x Samsung Galaxy Tab A8 @Rs.16000 | Subtotal: Rs.80000 | GST (18%): Rs.14400 | Total: Rs.94400 | Payment Due: 2025-09-26","One tablet arrived with a cracked screen. Reliance Digital's replacement process is painfully slow. Been waiting 3 weeks now.",negative
INV-036,"Invoice No: INV-036 | Date: 2026-01-18 | From: Flipkart Wholesale | To: Sethi Systems, Amritsar | Items: 30x Type-C Charging Cable 1.5m @Rs.200, 20x Lightning Cable 1m @Rs.350 | Subtotal: Rs.13000 | GST (18%): Rs.2340 | Total: Rs.15340 | Payment Due: 2026-02-18","Cables seem durable. Charging speed is acceptable. Connectors fit properly in all tested devices.",neutral
INV-037,"Invoice No: INV-037 | Date: 2025-12-08 | From: Wipro Peripherals | To: Dutta IT Solutions, Siliguri | Items: 10x Wireless Keyboard-Mouse Combo @Rs.1800 | Subtotal: Rs.18000 | GST (18%): Rs.3240 | Total: Rs.21240 | Payment Due: 2026-01-08","Excellent combos! The wireless range is better than expected and the battery life is outstanding. Wipro has really stepped up their peripheral game.",positive
INV-038,"Invoice No: INV-038 | Date: 2025-06-20 | From: HCL Digital Store | To: Rastogi Systems, Meerut | Items: 2x Brother Laser Printer @Rs.22000 | Subtotal: Rs.44000 | GST (18%): Rs.7920 | Total: Rs.51920 | Payment Due: 2025-07-20","Paper jam issues from day one. The toner cartridge that came with the printer was nearly empty. HCL should test products before shipping.",negative
INV-039,"Invoice No: INV-039 | Date: 2026-02-28 | From: Zoho Enterprise Solutions | To: Nambiar Tech, Calicut | Items: 8x Zoho Projects License (Annual) @Rs.10000 | Subtotal: Rs.80000 | GST (18%): Rs.14400 | Total: Rs.94400 | Payment Due: 2026-03-28","Zoho Projects is intuitive and our project managers adapted to it within a week. The Gantt chart feature is particularly useful. Great value for the price.",positive
INV-040,"Invoice No: INV-040 | Date: 2025-09-18 | From: Amazon Business India | To: Tiwari Office Mart, Varanasi | Items: 5x Desktop Webcam 4K @Rs.5500, 5x Ring Light 10-inch @Rs.1800 | Subtotal: Rs.36500 | GST (18%): Rs.6570 | Total: Rs.43070 | Payment Due: 2025-10-18","Webcam quality is good. Ring lights provide even illumination. Suitable for our video conferencing rooms.",neutral
INV-041,"Invoice No: INV-041 | Date: 2025-11-05 | From: DataServe Technologies | To: Hegde Networks, Mangalore | Items: 2x 48-Port Network Switch @Rs.35000 | Subtotal: Rs.70000 | GST (18%): Rs.12600 | Total: Rs.82600 | Payment Due: 2025-12-05","Switches handle our traffic load perfectly. Zero packet loss during stress testing. DataServe Technologies delivers enterprise-grade equipment.",positive
INV-042,"Invoice No: INV-042 | Date: 2025-07-12 | From: TechNova Solutions Pvt Ltd | To: Bajaj IT Center, Nagpur | Items: 20x Screen Protector Laptop 15.6in @Rs.350 | Subtotal: Rs.7000 | GST (18%): Rs.1260 | Total: Rs.8260 | Payment Due: 2025-08-12","Screen protectors bubble up easily and the adhesive is weak. 8 out of 20 had defects. Not worth the price.",negative
INV-043,"Invoice No: INV-043 | Date: 2026-03-12 | From: Infosys BPO Supplies | To: Mukherjee Infotech, Kolkata | Items: 200x Cable Ties @Rs.5, 50x Cable Management Clips @Rs.25 | Subtotal: Rs.2250 | GST (18%): Rs.405 | Total: Rs.2655 | Payment Due: 2026-04-12","Basic cable management supplies. Everything was as ordered. Functional products.",neutral
INV-044,"Invoice No: INV-044 | Date: 2025-10-22 | From: Flipkart Wholesale | To: Reddy Mobiles, Hyderabad | Items: 8x Samsung Galaxy M34 @Rs.17000 | Subtotal: Rs.136000 | GST (18%): Rs.24480 | Total: Rs.160480 | Payment Due: 2025-11-22","Samsung Galaxy M34 phones are selling like hotcakes! Customers love the camera and battery life. Flipkart packaging was perfect, not a single damaged unit.",positive
INV-045,"Invoice No: INV-045 | Date: 2025-08-08 | From: Bharat Electronics Ltd | To: Soni Security Systems, Jaipur | Items: 4x CCTV Camera Set (4-channel) @Rs.12000 | Subtotal: Rs.48000 | GST (18%): Rs.8640 | Total: Rs.56640 | Payment Due: 2025-09-08","Night vision quality is pathetic. The cameras claim IR range of 30m but barely work at 10m. Bharat Electronics has false advertising on these.",negative
INV-046,"Invoice No: INV-046 | Date: 2026-01-30 | From: Wipro Peripherals | To: Kaur Technologies, Ludhiana | Items: 3x 27-inch 4K Monitor @Rs.28000 | Subtotal: Rs.84000 | GST (18%): Rs.15120 | Total: Rs.99120 | Payment Due: 2026-02-28","Monitors have good color accuracy. The stands are adjustable which is a plus. Image quality meets expectations.",neutral
INV-047,"Invoice No: INV-047 | Date: 2025-12-18 | From: Reliance Digital Wholesale | To: Gupta Computer Centre, Delhi | Items: 10x JBL Bluetooth Speaker @Rs.3500 | Subtotal: Rs.35000 | GST (18%): Rs.6300 | Total: Rs.41300 | Payment Due: 2026-01-18","JBL speakers sound amazing! Bass is deep and the battery lasts 10+ hours. Customers are giving 5-star reviews. Will definitely reorder from Reliance Digital.",positive
INV-048,"Invoice No: INV-048 | Date: 2025-06-30 | From: CloudMinds India Pvt Ltd | To: Shukla IT Consultancy, Bhopal | Items: 1x Cloud Backup Solution (Annual) @Rs.60000 | Subtotal: Rs.60000 | GST (18%): Rs.10800 | Total: Rs.70800 | Payment Due: 2025-07-30","Data restoration failed twice during testing. CloudMinds backup solution is unreliable. We lost 2 days of work trying to recover files. Switching providers immediately.",negative
INV-049,"Invoice No: INV-049 | Date: 2026-02-22 | From: Amazon Business India | To: Bhardwaj Enterprises, Gurgaon | Items: 15x Laptop Bag 15.6in @Rs.1100 | Subtotal: Rs.16500 | GST (18%): Rs.2970 | Total: Rs.19470 | Payment Due: 2026-03-22","Laptop bags are well-padded and have good compartments. Zippers are smooth. Our employees are happy with them.",positive
INV-050,"Invoice No: INV-050 | Date: 2025-09-30 | From: Tata Consultancy Peripherals | To: Arora Systems, Chandigarh | Items: 5x Docking Station USB-C @Rs.6500 | Subtotal: Rs.32500 | GST (18%): Rs.5850 | Total: Rs.38350 | Payment Due: 2025-10-30","Docking stations function as described. USB ports and HDMI output work correctly. No issues reported by users so far.",neutral
INV-051,"Invoice No: INV-051 | Date: 2025-11-08 | From: Freshworks Software | To: Goyal Digital Agency, Mumbai | Items: 5x Freshmarketer License (Annual) @Rs.20000 | Subtotal: Rs.100000 | GST (18%): Rs.18000 | Total: Rs.118000 | Payment Due: 2025-12-08","Freshmarketer's A/B testing and heatmap features have significantly improved our conversion rates. The ROI has been incredible. Best marketing tool we've used.",positive
INV-052,"Invoice No: INV-052 | Date: 2025-07-25 | From: Micromax Distribution | To: Biswas Electronics, Bhubaneswar | Items: 20x Micromax Canvas Spark @Rs.6000 | Subtotal: Rs.120000 | GST (18%): Rs.21600 | Total: Rs.141600 | Payment Due: 2025-08-25","Software updates bricked 4 phones. Micromax customer care is nonexistent. We are stuck with inventory nobody wants to buy.",negative
INV-053,"Invoice No: INV-053 | Date: 2026-03-22 | From: HCL Digital Store | To: Chauhan Office Solutions, Shimla | Items: 5x All-in-One Desktop PC @Rs.35000 | Subtotal: Rs.175000 | GST (18%): Rs.31500 | Total: Rs.206500 | Payment Due: 2026-04-22","Desktops boot up quickly and run office applications smoothly. The all-in-one form factor saves desk space.",neutral
INV-054,"Invoice No: INV-054 | Date: 2025-10-05 | From: DataServe Technologies | To: Patil Networking, Nashik | Items: 1x Structured Cabling Kit @Rs.85000 | Subtotal: Rs.85000 | GST (18%): Rs.15300 | Total: Rs.100300 | Payment Due: 2025-11-05","DataServe Technologies provided a comprehensive cabling kit with clear labeling. Installation manual was detailed and helpful. Excellent quality components throughout.",positive
INV-055,"Invoice No: INV-055 | Date: 2025-08-20 | From: TechNova Solutions Pvt Ltd | To: Mittal Hardware, Agra | Items: 10x External HDD 1TB @Rs.3800 | Subtotal: Rs.38000 | GST (18%): Rs.6840 | Total: Rs.44840 | Payment Due: 2025-09-20","3 hard drives were DOA. TechNova took forever to process the return. Lost sales and customer trust because of this. Very frustrating.",negative
INV-056,"Invoice No: INV-056 | Date: 2026-01-14 | From: Zoho Enterprise Solutions | To: Rathore Digital, Udaipur | Items: 3x Zoho People HR License (Annual) @Rs.12000 | Subtotal: Rs.36000 | GST (18%): Rs.6480 | Total: Rs.42480 | Payment Due: 2026-02-14","Leave management and attendance tracking features in Zoho People are comprehensive. Our HR team is very pleased with the interface.",positive
INV-057,"Invoice No: INV-057 | Date: 2025-12-03 | From: Flipkart Wholesale | To: Sen Electronics, Guwahati | Items: 6x Realme Buds Air 5 @Rs.3200, 6x Boat Rockerz 450 @Rs.1500 | Subtotal: Rs.28200 | GST (18%): Rs.5076 | Total: Rs.33276 | Payment Due: 2026-01-03","Realme Buds have a hissing noise during calls and Boat Rockerz ear cushions peeled off within days. Both brands delivered subpar audio products through Flipkart.",negative
INV-058,"Invoice No: INV-058 | Date: 2025-06-12 | From: Infosys BPO Supplies | To: Trivedi Computers, Vadodara | Items: 20x Thermal Paste Tube @Rs.150, 10x Compressed Air Can @Rs.400 | Subtotal: Rs.7000 | GST (18%): Rs.1260 | Total: Rs.8260 | Payment Due: 2025-07-12","Some thermal paste tubes were partially dried out. The compressed air cans work fine. Mixed experience overall.",negative
INV-059,"Invoice No: INV-059 | Date: 2026-02-05 | From: Bharat Electronics Ltd | To: Pandey Security, Gorakhpur | Items: 8x Biometric Attendance Machine @Rs.8500 | Subtotal: Rs.68000 | GST (18%): Rs.12240 | Total: Rs.80240 | Payment Due: 2026-03-05","Biometric machines are fast and accurate. Fingerprint recognition works even with slightly wet hands. Very satisfied with Bharat Electronics quality.",positive
INV-060,"Invoice No: INV-060 | Date: 2025-09-14 | From: Reliance Digital Wholesale | To: Khanna Computer Mall, Ludhiana | Items: 3x Apple MacBook Air M2 @Rs.99000 | Subtotal: Rs.297000 | GST (18%): Rs.53460 | Total: Rs.350460 | Payment Due: 2025-10-14","MacBooks are genuine and sealed. Delivery was on time. Standard transaction with Reliance Digital.",neutral
INV-061,"Invoice No: INV-061 | Date: 2025-11-25 | From: CloudMinds India Pvt Ltd | To: Nair Cloud Solutions, Trivandrum | Items: 1x Enterprise Email Hosting (Annual) @Rs.90000 | Subtotal: Rs.90000 | GST (18%): Rs.16200 | Total: Rs.106200 | Payment Due: 2025-12-25","Email hosting has been rock solid with zero downtime. Spam filtering is excellent and storage is generous. CloudMinds email service is top-tier.",positive
INV-062,"Invoice No: INV-062 | Date: 2025-07-03 | From: Wipro Peripherals | To: Sawant IT Solutions, Pune | Items: 12x Laptop Cooling Pad @Rs.1500 | Subtotal: Rs.18000 | GST (18%): Rs.3240 | Total: Rs.21240 | Payment Due: 2025-08-03","Cooling pads are noisy and barely reduce temperature. The USB-powered fans are weak. Wipro should redesign these products.",negative
INV-063,"Invoice No: INV-063 | Date: 2026-03-08 | From: Amazon Business India | To: Maheshwari Tech, Indore | Items: 4x Smart Power Strip WiFi @Rs.2200 | Subtotal: Rs.8800 | GST (18%): Rs.1584 | Total: Rs.10384 | Payment Due: 2026-04-08","Smart power strips connect easily to WiFi. The app control is convenient. No issues with the product so far.",neutral
INV-064,"Invoice No: INV-064 | Date: 2025-10-28 | From: HCL Digital Store | To: Rawat Enterprises, Dehradun | Items: 1x Epson EcoTank Printer @Rs.15000, 4x Ink Bottle Set @Rs.800 | Subtotal: Rs.18200 | GST (18%): Rs.3276 | Total: Rs.21476 | Payment Due: 2025-11-28","EcoTank printer is a cost-effective choice. The ink bottles last extremely long. Print quality is consistently good across hundreds of pages. Highly recommend.",positive
INV-065,"Invoice No: INV-065 | Date: 2025-08-15 | From: Tata Consultancy Peripherals | To: Bose Systems, Kolkata | Items: 7x APC UPS 600VA @Rs.3800 | Subtotal: Rs.26600 | GST (18%): Rs.4788 | Total: Rs.31388 | Payment Due: 2025-09-15","Two UPS units arrived with swollen batteries. This is a safety hazard. Tata Consultancy Peripherals must improve their quality checks. Filing a formal complaint.",negative
INV-066,"Invoice No: INV-066 | Date: 2026-01-22 | From: DataServe Technologies | To: Shetty Networks, Mangalore | Items: 5x WiFi 6 Access Point @Rs.8000 | Subtotal: Rs.40000 | GST (18%): Rs.7200 | Total: Rs.47200 | Payment Due: 2026-02-22","WiFi 6 access points provide excellent coverage. Our office WiFi speed improved by 3x after deployment. DataServe recommended the perfect configuration for our space.",positive
INV-067,"Invoice No: INV-067 | Date: 2025-12-28 | From: TechNova Solutions Pvt Ltd | To: Awasthi Electronics, Allahabad | Items: 25x Phone Case Universal @Rs.250 | Subtotal: Rs.6250 | GST (18%): Rs.1125 | Total: Rs.7375 | Payment Due: 2026-01-28","Phone cases are standard quality. The fit is decent for most phone models. Pricing is competitive.",neutral
INV-068,"Invoice No: INV-068 | Date: 2025-06-18 | From: Flipkart Wholesale | To: Venkatesh Electronics, Bangalore | Items: 4x Dell 24-inch Monitor @Rs.14000 | Subtotal: Rs.56000 | GST (18%): Rs.10080 | Total: Rs.66080 | Payment Due: 2025-07-18","Dell monitors have excellent display quality and the thin bezels look great in our multi-monitor setup. Flipkart Wholesale had the best bulk pricing we found.",positive
INV-069,"Invoice No: INV-069 | Date: 2026-02-18 | From: Micromax Distribution | To: Roy Electronics, Patna | Items: 15x Micromax TWS Earbuds @Rs.1200 | Subtotal: Rs.18000 | GST (18%): Rs.3240 | Total: Rs.21240 | Payment Due: 2026-03-18","Audio quality is mediocre at best. Bluetooth keeps disconnecting after 5 minutes. Micromax earbuds are not worth even Rs.500.",negative
INV-070,"Invoice No: INV-070 | Date: 2025-09-22 | From: Zoho Enterprise Solutions | To: Ganesh IT Park, Chennai | Items: 12x Zoho Mail License (Annual) @Rs.3000 | Subtotal: Rs.36000 | GST (18%): Rs.6480 | Total: Rs.42480 | Payment Due: 2025-10-22","Zoho Mail is clean, ad-free, and integrates well with other Zoho apps. Migration from Gmail was surprisingly smooth. Our team adapted quickly.",positive
INV-071,"Invoice No: INV-071 | Date: 2025-11-12 | From: Bharat Electronics Ltd | To: Dixit Hardware, Gwalior | Items: 3x Voltage Stabilizer 5KVA @Rs.8000 | Subtotal: Rs.24000 | GST (18%): Rs.4320 | Total: Rs.28320 | Payment Due: 2025-12-12","Stabilizers are functioning. Output voltage stays within acceptable range. Build quality appears reasonable.",neutral
INV-072,"Invoice No: INV-072 | Date: 2025-07-20 | From: Reliance Digital Wholesale | To: Bhatia Tech Mart, Delhi | Items: 6x Sony WH-1000XM5 Headphones @Rs.24000 | Subtotal: Rs.144000 | GST (18%): Rs.25920 | Total: Rs.169920 | Payment Due: 2025-08-20","Three pairs had defective noise cancellation. Sony products through Reliance Digital channel seem to have quality control issues. Very disappointed for premium priced items.",negative
